"206891110001_R01C01"	"206891110001_R03C01"	"206891110001_R07C01"	"206891110001_R08C01"	"206891110002_R02C01"	"206891110002_R04C01"	"206891110002_R06C01"	"206891110002_R08C01"	"206891110004_R01C01"	"206891110004_R03C01"	"206891110004_R07C01"	"206891110004_R08C01"	"206891110005_R02C01"	"206891110005_R04C01"	"206891110005_R06C01"	"206891110005_R08C01"
"cg18224445_TC11"	0.0132838589531508	0.980820105326988	0.983611032740623	0.0182316910634315	0.0146379964156289	0.983128496853032	0.0127921555734874	0.97274505258048	0.0131249945253133	0.979669070438618	0.981091172755044	0.0299598096829592	0.0164054312826538	0.980684106993776	0.0139381989723332	0.982778313596139
"cg12163111_BC11"	0.983586557924286	0.0153069191979276	0.982094954497674	0.0158770779918109	0.0188214461246974	0.981532537425187	0.980801848922464	0.0170649297483591	0.982012272048983	0.0202297718668911	0.975902151943913	0.0168852510971011	0.0171688424326117	0.980105690728851	0.983017255870019	0.0162560004009919
"cg13570982_TC11"	0.0120766458885006	0.980138839113681	0.977443011842748	0.0130517932359038	0.0141652520548648	0.965999053075654	0.0123949326146898	0.976699534819586	0.0129733831859084	0.97882601048108	0.974552747696623	0.012099346592679	0.0129476171564529	0.975826325134318	0.013317890832876	0.978825329578132
"cg23583739_BC11"	0.0143730959075577	0.980037135186293	0.978198182228322	0.0146821912973872	0.0122467242458601	0.973344774114	0.010317211001829	0.970266115516998	0.0130706257335606	0.98051743077037	0.971718011054705	0.0184080283919514	0.0159963011632782	0.976580233658698	0.0139228360254997	0.981131670593669
"cg09921707_BC11"	0.0134428825978018	0.978223599553369	0.978765449213478	0.0265028046480632	0.0169133115823413	0.973242222821251	0.0140892732147571	0.979530153006125	0.0135950655874887	0.980543534739422	0.979183552449308	0.016911827758447	0.0165053633254272	0.976505561898811	0.017117618991858	0.980844395282978
"cg24436446_BC11"	0.0129157389519671	0.981055257813635	0.984376713609295	0.0200167346039146	0.0133321611816111	0.974107707574505	0.0136887398275419	0.983846059874257	0.0136787680601211	0.981261480196464	0.954087744142893	0.0258115525742095	0.0159140617589063	0.975274009941145	0.0127447112468068	0.983046827305488
"cg24367628_BC11"	0.00981747235259883	0.974792990324854	0.977820975345191	0.0132250889850647	0.010226284064491	0.974321062807166	0.00883389156258526	0.965885264822551	0.00919154185699587	0.971263717346154	0.964299452621055	0.0176646926346157	0.0138199369088498	0.973309614584253	0.0160107016938107	0.977556829108859
"cg21654383_BC11"	0.0161584266974686	0.980818324120784	0.982495729480238	0.0336639899707864	0.0176100521596528	0.983232321581455	0.0163926846187741	0.979907718345179	0.0142311432670811	0.981380463947404	0.981262480266094	0.0274019737311632	0.0298099489282588	0.97964236110354	0.0169601741647576	0.98352316590305
"cg24212814_TC11"	0.979564733520234	0.979774915686334	0.0210866010873371	0.0223342129611689	0.0156963249794522	0.0159674643728592	0.976851105199036	0.976753175083883	0.978486570242571	0.979487889454811	0.0168830903298045	0.0178054279995436	0.0239934111575541	0.0161927908067095	0.978493357685691	0.979913454172009
"cg13865352_TC11"	0.0193953536745227	0.981934909304188	0.985523001325224	0.0330241370216837	0.0197279177256486	0.975518242278699	0.0176649824903995	0.981053146681737	0.0182551054920261	0.981511668245158	0.984599766666987	0.0191296688242004	0.0273297957367678	0.980121617377829	0.0215050413379653	0.983049287775748
