"Row.names"	"annotation"	"SYMBOL"	"start"	"end"	"206891110001_R01C01"	"206891110001_R03C01"	"206891110001_R07C01"	"206891110001_R08C01"	"206891110002_R02C01"	"206891110002_R04C01"	"206891110002_R06C01"	"206891110002_R08C01"	"206891110004_R01C01"	"206891110004_R03C01"	"206891110004_R07C01"	"206891110004_R08C01"	"206891110005_R02C01"	"206891110005_R04C01"	"206891110005_R06C01"	"206891110005_R08C01"
"3"	"cg00069003_BC21"	"Promoter (1-2kb)"	"PCDHA1"	140784521	140784522	0.12602956005389	0.116034303480004	0.228868063165512	0.289792558646692	0.257952020409932	0.177920610289688	0.0270401896950597	0.137201240801646	0.151245108813178	0.185204131720613	0.166618686172223	0.268062809143451	0.339661335593268	0.128728238200964	0.165120788590761	0.225835803821929
"19"	"cg00707406_BC21"	"Promoter (1-2kb)"	"PCDHA1"	140788035	140788036	0.944723545547839	0.925740149182083	0.937076375751496	0.946973592516823	0.943717273750131	0.919013701323509	0.938330444648383	0.92524984687964	0.929214908077837	0.929819303693474	0.904529723549222	0.945387413435486	0.952235899752291	0.916810087923334	0.928306696496184	0.939206305361225
"155"	"cg05181804_TC21"	"Promoter (<=1kb)"	"PCDHA1"	140785476	140785477	0.212071012550212	0.22918109503811	0.177409176181495	0.201772799958308	0.112859379886841	0.188408551280507	0.1821472855827	0.229949650847835	0.181333535107476	0.221233150468604	0.20166798535284	0.19945730593092	0.270863860656797	0.171480410684268	0.232611507602426	0.23067576045616
"333"	"cg11394218_TC21"	"Promoter (<=1kb)"	"PCDHA1"	140785854	140785855	0.248329288356929	0.324648245458163	0.392620493444506	0.493388130653972	0.437429766795836	0.350969749498312	0.241767556979807	0.350767477374514	0.256897030461793	0.484440646967118	0.311217660762204	0.556960939857709	0.607503373240054	0.349670208991073	0.335483694931012	0.436993216694661
"355"	"cg12150457_BC21"	"Promoter (<=1kb)"	"PCDHA1"	140786102	140786103	0.132715002691204	0.58317299333621	0.519701223658071	0.0799638478182671	0.0814029495030077	0.388460139753847	0.120501709643349	0.473925885675108	0.0791120804022537	0.689287793759556	0.24649398459371	0.0939662642642494	0.123530885110219	0.423082266734544	0.128640522368822	0.67250764934912
"362"	"cg12456800_TC21"	"Promoter (<=1kb)"	"PCDHA1"	140786353	140786354	0.162536716204997	0.216885784673955	0.773548704658189	0.0503790597462587	0.0525347876726898	0.742425761060084	0.104574002761853	0.266884241374563	0.120677636164191	0.366563735711147	0.720119630906356	0.0614414484454462	0.0862336417961462	0.706079366341418	0.139769945449479	0.39067280203523
"376"	"cg13052223_TC21"	"Promoter (<=1kb)"	"PCDHA1"	140786066	140786067	0.304458481082948	0.61870542004226	0.708324806351229	0.318221149906533	0.258327541830574	0.624369743054291	0.277628492077872	0.664197226443547	0.227992948275748	0.731773038590398	0.461640897147502	0.239212595892398	0.318008582378722	0.565972416162397	0.454506196858822	0.757712613944735
"414"	"cg14416845_BC21"	"Promoter (<=1kb)"	"PCDHA1"	140785353	140785354	0.273123602713393	0.554667687692963	0.495438139011079	0.492191900470995	0.436344006447553	0.46238097551762	0.246419797265997	0.409477299653452	0.230202051466543	0.545314727591318	0.410954246317764	0.477574020345482	0.428884229422105	0.517298235542591	0.25413520705602	0.639018102817429
"434"	"cg15116095_TC21"	"Promoter (<=1kb)"	"PCDHA1"	140787004	140787005	0.463736647922355	0.812022318202262	0.689371588672617	0.836842145168294	0.790545962292432	0.747483574453032	0.446335379197169	0.754937258719399	0.419603055279526	0.902996417247138	0.65145331655145	0.798092257588313	0.817179605247888	0.724050725756123	0.551620749664794	0.814966398235009
"477"	"cg16715237_TC21"	"Promoter (<=1kb)"	"PCDHA1"	140786181	140786182	0.618855078167968	0.909550348487438	0.934960452100873	0.247505221832789	0.167080589008777	0.890209065660851	0.491533484174801	0.892883929668114	0.572941142538449	0.890931344985614	0.860785215205605	0.187986766532524	0.231030707009836	0.917788965344374	0.593301900475738	0.936211347386627
